time lick whlPos 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 0.000 
0.000 0.000 1.800 
0.000 0.000 5.600 
4.518 0.000 5.600 
4.574 0.000 5.600 
4.631 0.000 5.600 
4.689 0.000 5.600 
4.756 0.000 5.600 
4.816 0.000 5.600 
4.873 0.000 5.600 
4.928 0.000 5.600 
4.979 0.000 5.600 
5.035 0.000 5.600 
5.092 0.000 5.600 
5.146 0.000 5.600 
5.201 0.000 5.600 
5.255 0.000 5.600 
5.311 0.000 5.600 
5.368 0.000 5.600 
5.425 0.000 5.600 
5.481 0.000 5.600 
5.536 0.000 5.600 
5.590 0.000 5.600 
5.645 0.000 5.600 
5.699 0.000 5.600 
5.753 0.000 5.600 
5.838 0.000 5.600 
5.885 0.000 5.600 
5.941 0.000 5.600 
5.995 0.000 5.600 
6.052 0.000 5.600 
6.109 0.000 5.600 
6.162 0.000 5.600 
6.219 0.000 5.600 
6.277 0.000 5.600 
6.334 0.000 5.600 
6.391 0.000 5.600 
6.446 0.000 5.600 
6.504 0.000 5.600 
6.557 0.000 5.600 
6.617 0.000 5.600 
6.673 0.000 5.600 
6.746 0.000 5.600 
6.802 0.000 5.600 
6.855 0.000 5.600 
6.910 0.000 5.600 
6.967 0.000 5.600 
7.022 0.000 5.600 
7.075 0.000 5.600 
7.130 0.000 5.600 
7.190 0.000 5.600 
7.248 0.000 5.600 
7.309 0.000 5.600 
7.365 0.000 5.600 
7.418 0.000 5.600 
7.471 0.000 5.600 
7.528 0.000 5.600 
7.585 0.000 5.600 
7.641 0.000 5.600 
7.698 0.000 5.600 
7.758 0.000 5.600 
7.811 0.000 5.600 
7.866 0.000 5.600 
7.923 0.000 5.600 
7.979 0.000 5.600 
8.033 0.000 5.600 
8.090 0.000 5.600 
8.146 0.000 5.600 
8.208 0.000 5.600 
8.264 0.000 5.600 
8.320 0.000 5.600 
8.373 0.000 5.600 
8.428 0.000 5.600 
8.482 0.000 5.600 
8.537 0.000 5.600 
8.593 0.000 5.600 
8.650 0.000 5.600 
8.706 0.000 5.600 
8.762 0.000 5.600 
8.840 0.000 5.600 
8.898 0.000 5.600 
8.957 0.000 5.600 
9.014 0.000 5.600 
9.124 1.000 5.600 
9.214 1.000 5.600 
9.281 1.000 5.600 
9.344 1.000 5.600 
9.407 1.000 5.600 
9.487 1.000 5.600 
9.545 1.000 5.600 
9.605 0.000 5.600 
9.651 0.000 5.600 
9.709 0.000 5.600 
9.764 0.000 5.600 
9.841 0.000 5.600 
9.896 0.000 5.600 
9.948 0.000 5.600 
10.006 0.000 5.600 
10.061 0.000 5.600 
10.113 0.000 5.600 
10.172 0.000 5.600 
10.247 0.000 5.600 
10.301 0.000 5.600 
10.357 0.000 5.600 
10.416 0.000 5.600 
10.471 0.000 5.600 
10.526 0.000 5.600 
10.582 0.000 5.600 
10.639 0.000 5.600 
10.680 0.000 5.600 
10.736 0.000 5.600 
10.797 0.000 5.600 
10.853 0.000 5.600 
10.910 0.000 5.600 
10.967 0.000 5.600 
11.041 0.000 5.600 
11.095 0.000 5.600 
11.157 0.000 5.600 
11.216 0.000 5.600 
11.270 0.000 5.600 
11.325 0.000 5.600 
11.377 0.000 5.600 
11.433 0.000 5.600 
11.489 0.000 5.600 
11.542 0.000 5.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 37.600 
11.542 0.000 38.000 
11.542 0.000 38.000 
11.542 0.000 38.300 
11.542 0.000 40.400 
11.542 0.000 45.700 
11.542 0.000 48.900 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.200 
11.542 0.000 49.900 
11.542 0.000 45.700 
14.182 0.000 45.700 
14.238 0.000 45.700 
14.295 0.000 45.700 
14.353 0.000 45.700 
14.411 0.000 45.700 
14.468 0.000 45.700 
14.524 0.000 45.700 
14.581 0.000 45.700 
14.636 0.000 45.700 
14.691 0.000 45.700 
14.749 0.000 45.700 
14.846 0.000 45.700 
14.908 0.000 45.700 
14.962 0.000 45.700 
15.018 0.000 45.700 
15.070 0.000 45.700 
15.124 0.000 45.700 
15.182 0.000 45.700 
15.238 0.000 45.700 
15.296 0.000 45.700 
15.371 0.000 45.700 
15.426 0.000 45.700 
15.482 0.000 45.700 
15.525 0.000 45.700 
15.585 0.000 45.700 
15.640 0.000 45.700 
15.694 0.000 45.700 
15.751 0.000 45.700 
15.828 0.000 45.700 
15.887 0.000 45.700 
15.932 0.000 45.700 
15.989 0.000 45.700 
16.046 0.000 45.700 
16.105 0.000 45.700 
16.207 1.000 45.700 
16.281 1.000 45.700 
16.350 1.000 45.700 
16.409 1.000 45.700 
16.465 1.000 45.700 
16.521 0.000 45.700 
16.577 0.000 45.700 
16.635 0.000 45.700 
16.690 0.000 45.700 
16.752 0.000 45.700 
16.813 0.000 45.700 
16.871 0.000 45.700 
16.926 0.000 45.700 
16.985 0.000 45.700 
17.041 0.000 45.700 
17.096 0.000 45.700 
17.150 0.000 45.700 
17.206 0.000 45.700 
17.261 0.000 45.700 
17.316 0.000 45.700 
17.371 0.000 45.700 
17.429 0.000 45.700 
17.482 0.000 45.700 
17.540 0.000 45.700 
17.595 0.000 45.700 
17.651 0.000 45.700 
17.710 0.000 45.700 
17.767 0.000 45.700 
17.836 0.000 45.700 
17.882 0.000 45.700 
17.939 0.000 45.700 
17.997 0.000 45.700 
18.054 0.000 45.700 
18.106 0.000 45.700 
18.162 0.000 45.700 
18.216 0.000 45.700 
18.268 0.000 45.700 
18.325 0.000 45.700 
18.382 0.000 45.700 
18.439 0.000 45.700 
18.497 0.000 45.700 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 28.100 
18.497 0.000 27.100 
18.497 0.000 22.900 
18.497 0.000 16.900 
19.518 0.000 16.900 
19.574 0.000 16.900 
19.632 0.000 16.900 
19.688 0.000 16.900 
19.745 0.000 16.900 
19.801 0.000 16.900 
19.859 0.000 16.900 
19.916 0.000 16.900 
19.969 0.000 16.900 
20.042 0.000 16.900 
20.097 0.000 16.900 
20.151 0.000 16.900 
20.204 0.000 16.900 
20.260 0.000 16.900 
20.314 0.000 16.900 
20.369 0.000 16.900 
20.427 0.000 16.900 
20.483 0.000 16.900 
20.557 0.000 16.900 
20.613 0.000 16.900 
20.668 0.000 16.900 
20.723 0.000 16.900 
20.777 0.000 16.900 
20.836 0.000 16.900 
20.897 0.000 16.900 
20.958 0.000 16.900 
21.012 0.000 16.900 
21.067 0.000 16.900 
21.120 0.000 16.900 
21.179 0.000 16.900 
21.234 0.000 16.900 
21.311 0.000 16.900 
21.372 0.000 16.900 
21.429 0.000 16.900 
21.482 0.000 16.900 
21.539 0.000 16.900 
21.596 0.000 16.900 
21.658 0.000 16.900 
21.713 0.000 16.900 
21.768 0.000 16.900 
21.821 0.000 16.900 
21.877 0.000 16.900 
21.931 0.000 16.900 
21.985 0.000 16.900 
22.043 0.000 16.900 
22.099 0.000 16.900 
22.155 0.000 16.900 
22.216 0.000 16.900 
22.271 0.000 16.900 
22.327 0.000 16.900 
22.401 0.000 16.900 
22.456 0.000 16.900 
22.530 0.000 16.900 
22.593 0.000 16.900 
22.650 0.000 16.900 
22.707 0.000 16.900 
22.762 0.000 16.900 
22.805 0.000 16.900 
22.865 0.000 16.900 
22.924 0.000 16.900 
22.986 0.000 16.900 
23.044 0.000 16.900 
23.098 0.000 16.900 
23.153 0.000 16.900 
23.212 0.000 16.900 
23.265 0.000 16.900 
23.344 0.000 16.900 
23.403 0.000 16.900 
23.460 0.000 16.900 
23.513 0.000 16.900 
23.570 0.000 16.900 
23.625 0.000 16.900 
23.684 0.000 16.900 
23.742 0.000 16.900 
23.816 0.000 16.900 
23.883 0.000 16.900 
23.940 0.000 16.900 
23.992 0.000 16.900 
24.051 0.000 16.900 
24.104 0.000 16.900 
24.158 0.000 16.900 
24.215 0.000 16.900 
24.271 0.000 16.900 
24.324 0.000 16.900 
24.379 0.000 16.900 
24.437 0.000 16.900 
24.498 0.000 16.900 
24.558 0.000 16.900 
24.615 0.000 16.900 
24.669 0.000 16.900 
24.725 0.000 16.900 
24.778 0.000 16.900 
24.834 0.000 16.900 
24.889 0.000 16.900 
24.943 0.000 16.900 
25.013 0.000 16.900 
25.071 0.000 16.900 
25.122 0.000 16.900 
25.181 0.000 16.900 
25.232 0.000 16.900 
25.286 0.000 16.900 
25.340 0.000 16.900 
25.397 0.000 16.900 
25.455 0.000 16.900 
25.517 0.000 16.900 
25.572 0.000 16.900 
25.631 0.000 16.900 
25.684 0.000 16.900 
25.739 0.000 16.900 
25.794 0.000 16.900 
25.847 0.000 16.900 
25.904 0.000 16.900 
25.981 0.000 16.900 
26.034 0.000 16.900 
26.092 0.000 16.900 
26.147 0.000 16.900 
26.202 0.000 16.900 
26.260 0.000 16.900 
26.320 0.000 16.900 
26.376 0.000 16.900 
26.433 0.000 16.900 
26.491 0.000 16.900 
26.544 0.000 16.900 
26.599 0.000 16.900 
26.654 0.000 16.900 
26.712 0.000 16.900 
26.771 0.000 16.900 
