time lick 
0.116 0.000 
0.170 0.000 
0.228 0.000 
0.282 0.000 
0.338 0.000 
0.394 0.000 
0.450 0.000 
0.504 0.000 
0.558 0.000 
0.619 0.000 
0.679 0.000 
0.734 0.000 
0.790 0.000 
0.849 0.000 
0.905 0.000 
0.961 0.000 
1.015 0.000 
1.072 0.000 
1.131 0.000 
1.185 0.000 
1.242 0.000 
1.297 0.000 
1.350 0.000 
1.407 0.000 
1.466 0.000 
1.541 0.000 
1.598 0.000 
1.655 0.000 
1.709 0.000 
1.767 0.000 
1.823 0.000 
1.882 0.000 
1.941 0.000 
1.996 0.000 
2.052 0.000 
2.107 0.000 
2.162 0.000 
2.221 0.000 
2.280 0.000 
2.337 0.000 
2.395 0.000 
2.451 0.000 
2.508 0.000 
2.567 0.000 
2.627 0.000 
2.680 0.000 
2.758 0.000 
2.814 0.000 
2.868 0.000 
2.927 0.000 
2.985 0.000 
3.039 0.000 
3.091 0.000 
3.149 0.000 
3.204 0.000 
3.262 0.000 
3.318 0.000 
3.373 0.000 
3.431 0.000 
3.486 0.000 
3.547 0.000 
3.608 0.000 
3.669 0.000 
3.727 0.000 
3.783 0.000 
3.838 0.000 
3.894 0.000 
3.953 0.000 
4.009 0.000 
4.084 0.000 
4.139 0.000 
4.192 0.000 
4.248 0.000 
4.304 0.000 
4.359 0.000 
4.412 0.000 
4.466 0.000 
4.526 0.000 
4.583 0.000 
4.639 0.000 
4.693 0.000 
4.750 0.000 
4.803 0.000 
4.860 0.000 
4.917 0.000 
4.992 0.000 
5.049 0.000 
5.105 0.000 
5.159 0.000 
5.212 0.000 
5.267 0.000 
5.323 0.000 
5.400 0.000 
5.456 0.000 
5.516 0.000 
5.569 0.000 
5.625 0.000 
5.680 0.000 
5.735 0.000 
5.789 0.000 
5.844 0.000 
5.900 0.000 
5.958 0.000 
6.013 0.000 
6.069 0.000 
6.127 0.000 
6.182 0.000 
6.238 0.000 
6.291 0.000 
6.367 0.000 
6.422 0.000 
6.476 0.000 
6.530 0.000 
6.586 0.000 
6.640 0.000 
6.698 0.000 
6.774 0.000 
6.829 0.000 
6.885 0.000 
6.942 0.000 
7.001 0.000 
7.055 0.000 
7.111 0.000 
7.170 0.000 
7.246 0.000 
7.301 0.000 
7.357 0.000 
7.413 0.000 
7.468 0.000 
7.521 0.000 
7.579 0.000 
7.637 0.000 
7.695 0.000 
7.749 0.000 
7.800 0.000 
7.857 0.000 
7.913 0.000 
7.970 0.000 
8.026 0.000 
8.101 0.000 
8.156 0.000 
8.209 0.000 
8.265 0.000 
8.321 0.000 
8.395 0.000 
8.453 0.000 
8.507 0.000 
8.560 0.000 
8.616 0.000 
8.669 0.000 
8.725 0.000 
8.782 0.000 
8.840 0.000 
8.899 0.000 
8.956 0.000 
9.011 0.000 
9.071 0.000 
9.129 0.000 
9.185 0.000 
9.238 0.000 
9.293 0.000 
9.353 0.000 
9.408 0.000 
9.466 0.000 
9.523 0.000 
9.577 0.000 
9.631 0.000 
9.684 0.000 
9.742 0.000 
9.798 0.000 
9.853 0.000 
9.906 0.000 
9.964 0.000 
10.022 0.000 
10.079 0.000 
10.135 0.000 
10.192 0.000 
10.248 0.000 
10.305 0.000 
10.360 0.000 
10.414 0.000 
10.471 0.000 
10.526 0.000 
10.582 0.000 
10.640 0.000 
10.693 0.000 
10.749 0.000 
10.803 0.000 
10.857 0.000 
10.912 0.000 
10.966 0.000 
11.023 0.000 
11.076 0.000 
11.132 0.000 
11.188 0.000 
11.247 0.000 
11.307 0.000 
11.365 0.000 
11.422 0.000 
11.479 0.000 
11.554 0.000 
11.609 0.000 
11.666 0.000 
11.726 0.000 
11.783 0.000 
11.835 0.000 
11.890 0.000 
11.946 0.000 
11.990 0.000 
12.044 0.000 
12.102 0.000 
12.158 0.000 
12.213 0.000 
12.269 0.000 
12.328 0.000 
12.384 0.000 
12.441 0.000 
12.500 0.000 
12.561 0.000 
12.619 0.000 
12.681 0.000 
12.742 0.000 
12.799 0.000 
12.853 0.000 
12.913 0.000 
12.974 0.000 
13.029 0.000 
13.087 0.000 
13.144 0.000 
13.201 0.000 
13.257 0.000 
13.313 0.000 
13.372 0.000 
13.428 0.000 
13.483 0.000 
13.539 0.000 
13.592 0.000 
13.648 0.000 
13.703 0.000 
13.757 0.000 
13.814 0.000 
13.868 0.000 
13.925 0.000 
13.983 0.000 
14.040 0.000 
14.096 0.000 
14.150 0.000 
14.210 0.000 
14.266 0.000 
14.320 0.000 
14.375 0.000 
14.448 0.000 
14.504 0.000 
14.560 0.000 
14.614 0.000 
14.671 0.000 
14.724 0.000 
14.782 0.000 
14.839 0.000 
14.897 0.000 
14.950 0.000 
15.005 0.000 
15.063 0.000 
15.116 0.000 
15.170 0.000 
15.224 0.000 
15.277 0.000 
15.332 0.000 
15.388 0.000 
15.450 0.000 
15.509 0.000 
15.564 0.000 
15.619 0.000 
15.678 0.000 
15.737 0.000 
15.828 1.000 
15.918 1.000 
15.983 0.000 
16.041 0.000 
16.118 0.000 
16.231 0.000 
16.285 0.000 
16.342 0.000 
16.397 0.000 
16.454 0.000 
16.508 0.000 
16.565 0.000 
16.626 0.000 
16.684 0.000 
16.738 0.000 
16.795 0.000 
16.852 0.000 
16.907 0.000 
16.962 0.000 
17.018 0.000 
17.072 0.000 
17.133 0.000 
17.190 0.000 
17.246 0.000 
17.305 0.000 
17.362 0.000 
17.416 0.000 
17.493 0.000 
17.548 0.000 
17.604 0.000 
17.661 0.000 
17.714 0.000 
17.769 0.000 
17.827 0.000 
17.887 0.000 
17.946 0.000 
18.001 0.000 
18.054 0.000 
18.100 0.000 
18.158 0.000 
18.210 0.000 
18.266 0.000 
18.322 0.000 
18.382 0.000 
18.439 0.000 
18.496 0.000 
18.573 0.000 
18.630 0.000 
18.689 0.000 
18.741 0.000 
18.794 0.000 
18.858 0.000 
18.934 0.000 
18.991 0.000 
19.043 0.000 
19.098 0.000 
19.154 0.000 
19.210 0.000 
19.266 0.000 
19.320 0.000 
19.365 0.000 
19.420 0.000 
19.476 0.000 
19.531 0.000 
19.587 0.000 
19.632 0.000 
19.690 0.000 
19.745 0.000 
19.803 0.000 
19.861 0.000 
19.915 0.000 
19.969 0.000 
20.025 0.000 
20.084 0.000 
20.141 0.000 
20.192 0.000 
20.247 0.000 
20.303 0.000 
20.359 0.000 
20.412 0.000 
20.467 0.000 
20.522 0.000 
20.579 0.000 
20.635 0.000 
20.692 0.000 
20.747 0.000 
20.805 0.000 
20.858 0.000 
20.913 0.000 
20.971 0.000 
21.031 0.000 
21.106 0.000 
21.163 0.000 
21.217 0.000 
21.276 0.000 
21.329 0.000 
21.384 0.000 
21.460 0.000 
21.516 0.000 
21.572 0.000 
21.630 0.000 
21.683 0.000 
21.740 0.000 
21.793 0.000 
21.851 0.000 
21.905 0.000 
21.966 0.000 
22.024 0.000 
22.086 0.000 
22.141 0.000 
22.197 0.000 
22.274 0.000 
22.328 0.000 
22.384 0.000 
22.441 0.000 
22.494 0.000 
22.555 0.000 
22.612 0.000 
22.671 0.000 
22.727 0.000 
22.781 0.000 
22.837 0.000 
22.895 0.000 
22.951 0.000 
23.006 0.000 
23.062 0.000 
23.115 0.000 
23.172 0.000 
23.227 0.000 
23.282 0.000 
23.341 0.000 
23.402 0.000 
23.459 0.000 
23.515 0.000 
23.570 0.000 
23.625 0.000 
23.685 0.000 
23.746 0.000 
23.804 0.000 
23.859 0.000 
23.912 0.000 
23.967 0.000 
24.021 0.000 
24.076 0.000 
24.133 0.000 
24.190 0.000 
24.247 0.000 
24.303 0.000 
24.357 0.000 
24.413 0.000 
24.470 0.000 
24.523 0.000 
24.579 0.000 
24.634 0.000 
24.693 0.000 
24.751 0.000 
24.807 0.000 
24.867 0.000 
24.923 0.000 
24.976 0.000 
25.030 0.000 
25.085 0.000 
25.141 0.000 
25.198 0.000 
25.252 0.000 
25.307 0.000 
25.365 0.000 
25.422 0.000 
25.479 0.000 
25.538 0.000 
25.595 0.000 
25.651 0.000 
25.707 0.000 
25.766 0.000 
25.825 0.000 
25.883 0.000 
25.938 0.000 
25.996 0.000 
26.052 0.000 
26.109 0.000 
26.164 0.000 
26.220 0.000 
26.271 0.000 
26.329 0.000 
26.386 0.000 
26.441 0.000 
26.497 0.000 
26.551 0.000 
26.606 0.000 
26.662 0.000 
26.715 0.000 
26.771 0.000 
26.826 0.000 
26.880 0.000 
26.934 0.000 
26.994 0.000 
27.051 0.000 
27.106 0.000 
27.160 0.000 
27.215 0.000 
27.269 0.000 
27.326 0.000 
27.381 0.000 
27.434 0.000 
27.488 0.000 
27.548 0.000 
27.603 0.000 
27.656 0.000 
27.713 0.000 
27.770 0.000 
27.824 0.000 
27.881 0.000 
27.938 0.000 
27.995 0.000 
28.050 0.000 
28.109 0.000 
28.165 0.000 
28.223 0.000 
28.281 0.000 
28.335 0.000 
28.390 0.000 
28.445 0.000 
28.503 0.000 
28.554 0.000 
28.610 0.000 
28.666 0.000 
28.721 0.000 
28.781 0.000 
28.836 0.000 
28.891 0.000 
28.948 0.000 
29.007 0.000 
29.064 0.000 
29.117 0.000 
29.173 0.000 
29.233 0.000 
29.293 0.000 
29.351 0.000 
29.404 0.000 
29.458 0.000 
29.514 0.000 
29.569 0.000 
29.622 0.000 
29.681 0.000 
29.737 0.000 
29.795 0.000 
29.852 0.000 
29.904 0.000 
29.959 0.000 
30.017 0.000 
30.071 0.000 
30.128 0.000 
30.185 0.000 
30.261 0.000 
30.318 0.000 
30.374 0.000 
30.426 0.000 
30.483 0.000 
30.539 0.000 
30.595 0.000 
30.651 0.000 
30.712 0.000 
30.766 0.000 
30.823 0.000 
30.880 0.000 
30.940 0.000 
30.994 0.000 
31.071 0.000 
31.125 0.000 
31.180 0.000 
31.235 0.000 
31.290 0.000 
